Sites,ID,Treatment,Date,Year,N,YrCol,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Chrysomelida,Collembola,Cecidomyiida,Sciaridae,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Ulidiidae,Chloropidae,Drosophilida,Muscidae,Anthomyiidae,Stratiomyida,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Scelionidae,Platygastrid,Braconidae,Diapriidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Limnephilida,Psocoptera,Noctuidae,Crambidae,
IN1,IN1,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3333333,0.1282051,0.02508961,0.1428571,0.2,0,0,0,0,0,0.25,0.3333333,0.4285714,0,0,1,0,0,0,0,0.1168831,0,0.09090909,0,0,0,0.07692308,0,0,0,0.5,0,0,0,0,0.08,0,0,0,0,0,0,0,4.95610508
IN2,IN2,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0.25,0,0,1,1,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0.04032258,0.2857143,1,0,1,0.1818182,1,1,0,0,1,0,0,0,0,1,0,0,0.01948052,0,0,0,0,1,0,0,0,0,0.5,0,0.05555556,0,0,0.04,0,0,0,0,0,0,0,11.12289116
IN3,IN3,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1794872,0.01523297,0,0.5,0,0,0,0.3333333,0,0.25,0,0,0,0,0,0,0,0,0,0.09740259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,0.04,0,0,0,0,0,0,0,1.45800925
IN5,IN5,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0.137931,1,0,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0.1025641,0.203405,0,0.3,0,0,0.3636364,0.3333333,0.5,1,0.3333333,0,0,0,0,1,0,0.3333333,0,1,0,0.2727273,0,0.4,0,0.2307692,0,0,0,1,0,0,0,0,0.04,0,0,0,0,0,0,0,11.0510329
IN6,IN6,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.006272402,0.2857143,0.1,0,0,0,0.6666667,0,0,0,0.1428571,0,0,0,0,0,0,0,0.03246753,0,0,0,0,0,0,0,0,0,0,0,0.05555556,0,0,0,0,0,0,0,0,0,0,3.289533592
IN7,IN7,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0.4102564,0.05824373,0,0.1,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0.6666667,1,0.1428571,0,1,0,0.2,0,0.03846154,0,0,1,0,0,0,0,0,0.04,0,0,0,0,0,0,0,6.90648547
IN8,IN8,Invaded,19-Jun-17,2017,Col._1,2017Col._1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.02419355,0,0,0,0,0.3636364,0,0,0,0,0,0,0,0,0,0,0,0,0.03896104,0,0,0,0,0,0.03846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79858583
INOW,INOW,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02060932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01948052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08510638,0.04,0.1428571,0,0,0,0,0,0,0.30805332
RES1,RES1,Treated,19-Jun-17,2017,Col._1,2017Col._1,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02564103,0.08512545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,1.40076648
RES3,RES3,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02564103,0.516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0.08,0,0,0,0,0,0,0,0.794930236
RES4,RES4,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0.281362,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.006493506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,1.869020976
RES5,RES5,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1021505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212766,0,0,0,0,0,0,0,0,0.6234271
RES6,RES6,Treated,19-Jun-17,2017,Col._1,2017Col._1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03315412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0.04,0,0,0,0,0,0,0,0.996314326
RES7,RES7,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0.197353756
RES8,RES8,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187276,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212766,0,0,0,0,0,0,0,0,0.8752192
RESOW,RESOW,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1084229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01298701,0,0,0,0,0,0,0,0,0,0,0,0.05555556,0,0.08510638,0,0,0,0,0,0,0,0,0.26207185
UNM1,UNM1,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.02564103,0.03225806,0,0.7,0,0,0.2727273,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.05194805,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50681683
UNM2,UNM2,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1003584,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2432155
UNM3,UNM3,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.05128205,0.07706093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01298701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14132999
UNM4,UNM4,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05128205,0.3297491,0,0.7,0,0,0.2727273,0.6666667,0,0,1,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4.66328225
UNOW,UNOW,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03136201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.212766,0.04,1,1,0.5,0,0,0,0,2.95079471
UNT1,UNT1,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.2051282,0.02419355,0.1428571,0,0,0,0.1818182,0,0,0,0.3333333,0,0,0.5,0,0,0,0,0,0.04545455,0,0,0,0.4,0,0.07692308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.90970798
UNT2,UNT2,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05128205,0.007168459,0.1428571,0.1,0,0,0,0.3333333,0,0,0.6666667,0,0,0,0,0,0,0,0,0.01298701,0,0.1818182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.496112819
UNT3,UNT3,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0.03448276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.948718,0.2956989,0,0,0,0,0.09090909,0,0,0.25,0,0.1428571,0,0,0,0,0,0,0,0.01298701,0,0,0,0,0,0,0.3333333,1,0,0,0,0,0.1666667,0,0.08,0.1428571,0,0,0,0,0,0,4.49850996
UNT4,UNT4,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025641,0.0483871,0.1428571,0,0,0,0.09090909,0,0,0,0,0,0,0,0.3333333,0,0,0.3333333,0,0.2792208,0,0,0,0,0,0,0.3333333,1,0,0,0,0,0.5,0.0212766,0,0,0,0,0,0,0,0,3.68521469
IN1,IN1,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02564103,0.000896057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555556,0,0,0,0,0,0,0,0,0,0,0.582092647
IN2,IN2,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3888889,0,0,0,0,0,0,0,0,0,0,3.22979799
IN3,IN3,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.001792115,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0,0,0,0,0,0.2777778,0,0,0,0,0,0,0,0,0,0,1.589826295
IN4,IN4,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005376344,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,1,0,0,0,0,0,0,0,0,0,0,0.05555556,0,0,0.04,0,0,0,0,0,0,0,2.4483345
IN5,IN5,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002688172,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3333333,0.3333333,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0.4444444,0,0,0,0,0,0,0,0,0,0,3.704708262
IN7,IN6,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.3333333,0,0.001792115,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.3333333,0.3333333,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6.501792015
IN8,IN7,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05017921,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0,0,0,0,2.55414741
INOW,IN8,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0.1926523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.769402186
RES1,INOW,Invaded,16-Jun-18,2018,Col._3,2018Col._3,0,0.03448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2051282,0.07616487,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81577583
RES2,RES1,Treated,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6923077,0.5707885,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0.2,0,0,0,0,0.3333333,3.693832096
RES3,RES2,Treated,16-Jun-18,2018,Col._3,2018Col._3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025641,0.2508961,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1111111,0,0.0212766,0.32,0,0,0,0,0,0,1,3.5891812
RES4,RES3,Treated,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1282051,0.40681,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08510638,0.12,0,0,0,0,0,0,0.3333333,2.27345478
RES5,RES4,Treated,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,1,0,0,0,0,0,0,0,2.14511729
RES6,RES5,Treated,16-Jun-18,2018,Col._3,2018Col._3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05128205,0.2867384,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0.1666667,0,0.24,0,0.4,1,0,0,0,0,2.93004064
RES7,RES6,Treated,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0.3933692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0.08,0,0,0.5,0,0,0,0,1.88362568
RES8,RES7,Treated,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1962366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555556,0,0,0,0,0,0,0,0,0,0,1.25179216
RESOW,RES8,Treated,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02564103,0.109319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06382979,0.08,0,0,0,0,0,0,0,1.27878982
UNM1,RESOW,Treated,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1794872,0.1272401,0,0,0,0,0.4545455,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.006493506,0,0.09090909,0,0.2,0,0.07692308,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.802265076
UNM2,UNM1,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02564103,0.006272402,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2727273,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0.04,0,0,0,0,0,0,0,1.102216522
UNM3,UNM2,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02564103,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.3333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.10897433
UNM4,UNM3,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001792115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0.006493506,0,0.09090909,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.015861411
UNM5,UNM4,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001792115,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0.03846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137656251
UNM6,UNM5,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008960574,0,0,0,0,0.1818182,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0.2,0,0,0,0,0,2.76393898
UNOW,UNM6,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390681,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06382979,0.28,0,0,0.5,0,0,0,0,2.56784409
UNT1,UNOW,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1282051,0.002688172,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.273750372
UNT2,UNT1,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02564103,0.006272402,0.1428571,0,0,0,0,0,0,0,0,0,0,0.5,0,0.625,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.806264038
,UNT2,Uninvaded,16-Jun-18,2018,Col._3,2018Col._3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
