"","ID","Habitat","Type","Lampyridae","Cecidomyiidae","Phoridae","Ceratopogonidae","Chironomidae","Culicidae","Chaoboridae","Dolichopodidae","Ephydridae","Sciomyzidae","Stratiomyidae","Tabanidae","Tipulidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Scelionidae","Ichneumonidae","Mymaridae","Libellulidae","Lestidae","Coenagrionidae","Hydroptilidae","Leptoceridae","Polycentropodidae","Phryganeidae","Limnephilidae","Cosmopterigidae","Crambidae","Corduliidae"
"1","IN1","Invaded","Emerging",1,1,0,13,115,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,1,0,3,0,0,0
"2","IN2","Invaded","Emerging",0,1,1,0,40,44,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,2,0,23,0,4,0,0,0,0,0,0
"3","IN3","Invaded","Emerging",0,0,7,8,167,4,0,0,2,0,2,0,9,7,0,0,0,1,1,0,0,0,2,17,0,0,1,1,1,0,0,0
"4","IN4","Invaded","Emerging",0,1,1,21,530,3,0,8,2,0,0,0,2,3,0,1,0,2,1,0,0,9,1,17,0,4,0,0,13,0,1,0
"5","IN5","Invaded","Emerging",2,0,11,1,93,61,2,0,2,0,3,0,0,0,0,1,1,3,2,0,0,7,1,62,1,3,0,1,4,0,0,0
"6","IN6","Invaded","Emerging",0,0,2,2,109,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,12,0,10,5,3,0,0,2,0,0,0
"7","IN7","Invaded","Emerging",0,1,4,0,120,56,9,0,13,0,0,0,4,2,0,1,1,0,0,0,0,4,2,30,0,5,0,2,17,1,0,0
"8","IN8","Invaded","Emerging",2,0,0,0,385,11,0,0,10,0,1,0,0,0,1,0,0,0,0,1,0,7,0,30,6,0,0,0,17,0,0,0
"9","RES1","Treated","Emerging",0,0,0,1196,1157,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0
"10","RES2","Treated","Emerging",0,0,0,125,2783,0,0,0,14,2,0,0,1,0,0,1,1,1,1,0,1,5,2,6,203,40,1,0,0,0,13,0
"11","RES3","Treated","Emerging",0,0,0,25,1746,0,1,0,1,0,0,5,2,0,0,2,1,0,0,0,1,0,1,3,3,15,4,0,0,0,4,0
"12","RES4","Treated","Emerging",0,0,0,9,1320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,3,0,3,0,0,2,0
"13","RES5","Treated","Emerging",0,0,0,14,1951,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,37,0,0,0,0,0,0
"14","RES6","Treated","Emerging",0,0,1,11,2532,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4,3,26,7,8,0,0,1,0
"15","RES7","Treated","Emerging",0,0,0,40,1888,0,0,0,0,1,2,0,0,0,0,4,0,0,0,1,1,1,0,0,4,67,3,2,1,0,0,0
"16","RES8","Treated","Emerging",0,0,0,15,1212,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,2,3,0,0,0,0,0,0
"17","RESOW","Treated","Emerging",0,0,0,2,261,0,0,0,4,0,0,16,0,0,0,3,0,0,0,1,0,0,0,0,12,4,2,0,0,0,0,0
"18","UNM1","Uninvaded","Emerging",3,0,0,80,1044,0,0,0,10,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,1,1,1,1,0,1,0
"19","UNM2","Uninvaded","Emerging",0,0,0,25,176,0,0,0,2,0,0,0,0,0,0,0,0,1,5,1,0,0,2,0,0,4,0,0,0,0,0,0
"20","UNM3","Uninvaded","Emerging",1,0,0,9,43,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
"21","UNM4","Uninvaded","Emerging",1,0,0,45,35,0,0,0,22,0,1,0,0,0,3,1,4,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0
"22","UNM5","Uninvaded","Emerging",6,0,0,23,70,0,0,0,3,1,1,0,1,3,1,3,0,1,0,0,2,0,0,0,1,1,0,1,3,0,0,0
"23","UNM6","Uninvaded","Emerging",3,1,0,14,339,0,0,0,6,0,0,0,8,4,0,0,4,3,2,0,0,1,1,29,0,1,3,1,0,0,0,0
"24","UNT1","Uninvaded","Emerging",0,0,0,12,131,45,0,0,0,0,0,0,0,4,4,0,1,4,0,0,0,0,1,7,0,2,0,1,15,40,0,0
"25","UNT2","Uninvaded","Emerging",0,1,0,1,60,10,0,0,1,0,1,0,0,6,1,0,0,15,0,0,0,0,1,0,2,0,0,1,0,2,0,0
"26","IN1","Invaded","Aquatic",0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","IN2","Invaded","Aquatic",0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"28","IN3","Invaded","Aquatic",0,3,0,8,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0
"29","IN4","Invaded","Aquatic",0,0,0,2,22,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0
"30","IN5","Invaded","Aquatic",0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0
"31","IN6","Invaded","Aquatic",0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0
"32","IN7","Invaded","Aquatic",0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0
"33","IN8","Invaded","Aquatic",0,0,0,3,380,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"34","RES1","Treated","Aquatic",0,0,0,670,2675,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0
"35","RES2","Treated","Aquatic",0,0,0,41,1385,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1,0
"36","RES3","Treated","Aquatic",0,0,0,33,1747,0,0,0,5,0,0,0,0,0,0,70,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0
"37","RES4","Treated","Aquatic",0,0,0,48,1415,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"38","RES5","Treated","Aquatic",0,2,0,18,239,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"39","RES6","Treated","Aquatic",0,0,0,40,559,0,0,0,0,0,1,0,0,0,0,384,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2
"40","RES7","Treated","Aquatic",0,1,0,132,1109,0,0,0,0,1,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
"41","RES8","Treated","Aquatic",0,0,0,26,616,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
"42","RESOW","Treated","Aquatic",0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","UNM1","Uninvaded","Aquatic",7,0,0,9,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","UNM2","Uninvaded","Aquatic",2,2,0,9,102,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"45","UNM3","Uninvaded","Aquatic",2,1,0,11,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","UNM4","Uninvaded","Aquatic",1,3,0,12,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"47","UNM5","Uninvaded","Aquatic",2,1,0,15,39,1,0,0,0,2,1,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
"48","UNM6","Uninvaded","Aquatic",31,2,0,8,86,0,0,0,3,0,0,0,10,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
"49","UNT1","Uninvaded","Aquatic",5,0,0,5,169,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0
"50","UNT2","Uninvaded","Aquatic",0,1,0,2,67,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
